-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2020 through 07/31/2020 
Location: Latitude  5.5516   Longitude -0.2686 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.76 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M,RH2M,PRECTOTCORR,T2M
2020,5,1,0,101.05,2.49,264.79,3.32,90.12,0.08,26.15
2020,5,1,1,100.97,2.31,260.06,3.05,90.25,0.12,26.02
2020,5,1,2,100.92,2.2,254.14,2.85,90.19,0.19,25.91
2020,5,1,3,100.9,2.23,250.36,2.88,90.0,0.19,25.87
2020,5,1,4,100.92,2.24,247.2,2.88,90.0,0.15,25.83
2020,5,1,5,100.97,2.2,244.98,2.8,90.0,0.11,25.83
2020,5,1,6,101.02,2.12,242.87,2.69,89.38,0.08,26.16
2020,5,1,7,101.08,2.11,235.55,2.49,86.25,0.07,26.94
2020,5,1,8,101.12,2.18,220.49,2.5,80.0,0.06,27.89
2020,5,1,9,101.12,2.41,210.23,2.72,74.81,0.05,28.7
2020,5,1,10,101.09,2.64,201.33,2.95,72.25,0.04,29.29
2020,5,1,11,101.04,3.0,191.4,3.33,71.0,0.05,29.69
2020,5,1,12,100.97,3.43,183.13,3.82,70.81,0.08,29.84
2020,5,1,13,100.89,3.78,176.45,4.23,71.56,0.12,29.78
2020,5,1,14,100.84,3.97,170.83,4.48,73.12,0.17,29.51
2020,5,1,15,100.82,4.02,168.67,4.57,75.0,0.21,29.19
2020,5,1,16,100.83,3.93,170.73,4.56,77.44,0.2,28.78
2020,5,1,17,100.87,3.57,173.09,4.43,81.19,0.15,28.26
2020,5,1,18,100.93,3.11,175.68,4.2,84.88,0.1,27.73
2020,5,1,19,101.0,2.77,178.23,3.74,86.44,0.07,27.51
2020,5,1,20,101.08,2.37,180.57,3.13,87.0,0.04,27.39
2020,5,1,21,101.12,2.03,186.19,2.61,87.25,0.02,27.29
2020,5,1,22,101.09,1.71,196.7,2.19,87.12,0.01,27.19
2020,5,1,23,101.04,1.53,210.76,1.95,87.0,0.0,27.08
2020,5,2,0,100.95,1.45,222.38,1.83,87.12,0.0,26.98
2020,5,2,1,100.88,1.43,228.55,1.79,87.5,0.0,26.85
2020,5,2,2,100.83,1.53,232.25,1.91,88.0,0.01,26.73
2020,5,2,3,100.81,1.72,231.83,2.17,88.5,0.01,26.64
2020,5,2,4,100.84,1.89,229.53,2.43,88.94,0.02,26.6
2020,5,2,5,100.89,2.05,226.08,2.68,89.25,0.02,26.58
2020,5,2,6,100.94,2.05,221.6,2.76,89.06,0.03,26.83
2020,5,2,7,101.02,2.21,219.26,2.67,87.44,0.04,27.34
2020,5,2,8,101.07,2.29,214.45,2.63,85.06,0.06,27.83
2020,5,2,9,101.08,2.49,211.4,2.83,82.19,0.07,28.34
2020,5,2,10,101.05,2.79,209.01,3.15,80.12,0.1,28.74
2020,5,2,11,100.98,3.08,206.5,3.48,79.25,0.1,28.92
2020,5,2,12,100.9,3.36,205.61,3.8,78.88,0.11,29.02
2020,5,2,13,100.82,3.59,206.06,4.08,79.06,0.12,29.0
2020,5,2,14,100.75,3.69,207.49,4.22,79.69,0.12,28.88
2020,5,2,15,100.72,3.67,208.85,4.23,80.56,0.13,28.73
2020,5,2,16,100.72,3.61,209.01,4.21,82.0,0.11,28.51
2020,5,2,17,100.75,3.35,208.72,4.15,85.25,0.13,28.1
2020,5,2,18,100.8,3.17,208.84,4.18,88.88,0.13,27.56
2020,5,2,19,100.85,3.21,211.18,4.26,90.06,0.15,27.4
2020,5,2,20,100.89,3.26,214.83,4.31,90.81,0.15,27.3
2020,5,2,21,100.92,3.34,217.97,4.44,91.5,0.15,27.23
2020,5,2,22,100.92,3.39,220.52,4.5,92.19,0.16,27.14
2020,5,2,23,100.88,3.48,223.63,4.62,92.75,0.17,27.06
2020,5,3,0,100.81,3.55,225.8,4.74,93.31,0.18,26.98
2020,5,3,1,100.74,3.58,227.3,4.77,93.62,0.18,26.91
2020,5,3,2,100.7,3.61,227.19,4.8,93.69,0.18,26.9
2020,5,3,3,100.69,3.52,228.14,4.68,93.75,0.15,26.87
2020,5,3,4,100.72,3.41,229.56,4.5,93.69,0.17,26.86
2020,5,3,5,100.76,3.31,228.06,4.36,93.75,0.18,26.83
2020,5,3,6,100.81,3.27,223.07,4.23,93.06,0.23,27.15
2020,5,3,7,100.88,3.61,215.75,4.26,91.25,0.25,27.63
2020,5,3,8,100.93,4.11,207.25,4.85,88.25,0.29,28.16
2020,5,3,9,100.95,4.55,196.16,5.31,84.5,0.29,28.69
2020,5,3,10,100.94,4.91,187.87,5.67,82.38,0.3,28.95
2020,5,3,11,100.9,4.94,185.45,5.68,81.44,0.33,28.96
2020,5,3,12,100.8,4.7,186.3,5.41,81.5,0.36,28.75
2020,5,3,13,100.71,4.41,188.56,5.04,81.31,0.39,28.68
2020,5,3,14,100.65,4.05,190.44,4.62,81.06,0.38,28.65
2020,5,3,15,100.63,3.75,194.96,4.32,81.5,0.36,28.51
2020,5,3,16,100.64,3.54,199.36,4.14,82.81,0.39,28.26
2020,5,3,17,100.68,3.11,200.57,3.91,85.56,0.39,27.87
2020,5,3,18,100.74,2.91,202.09,3.91,88.12,0.38,27.43
2020,5,3,19,100.78,2.86,204.88,3.87,88.69,0.36,27.28
2020,5,3,20,100.83,2.75,208.68,3.75,88.75,0.32,27.21
2020,5,3,21,100.86,2.44,214.05,3.31,88.69,0.25,27.12
2020,5,3,22,100.86,2.08,223.78,2.8,88.56,0.25,27.01
2020,5,3,23,100.82,1.87,236.44,2.52,88.75,0.24,26.85
2020,5,4,0,100.74,1.86,249.36,2.48,89.19,0.23,26.69
2020,5,4,1,100.67,1.99,261.2,2.6,89.31,0.2,26.57
2020,5,4,2,100.63,2.11,271.27,2.79,89.69,0.18,26.44
2020,5,4,3,100.63,2.08,277.13,2.85,89.88,0.18,26.37
2020,5,4,4,100.65,1.99,279.02,2.72,89.94,0.15,26.3
2020,5,4,5,100.7,1.92,277.73,2.51,89.75,0.14,26.25
2020,5,4,6,100.76,1.65,272.17,2.17,89.19,0.15,26.5
2020,5,4,7,100.84,1.33,259.48,1.59,87.19,0.12,26.99
2020,5,4,8,100.89,0.96,228.95,1.11,82.38,0.09,27.58
2020,5,4,9,100.91,0.9,173.55,0.96,75.31,0.09,28.5
2020,5,4,10,100.9,1.4,142.94,1.49,71.69,0.12,29.27
2020,5,4,11,100.86,1.99,140.57,2.14,71.0,0.11,29.68
2020,5,4,12,100.81,2.58,142.51,2.8,71.62,0.14,29.75
2020,5,4,13,100.75,3.01,142.92,3.31,73.06,0.14,29.52
2020,5,4,14,100.71,3.32,140.73,3.71,74.81,0.12,29.14
2020,5,4,15,100.7,3.41,142.74,3.85,76.88,0.1,28.68
2020,5,4,16,100.7,3.29,150.39,3.79,79.06,0.08,28.19
2020,5,4,17,100.71,3.04,162.96,3.71,81.94,0.07,27.69
2020,5,4,18,100.73,2.88,178.13,3.81,84.94,0.07,27.28
2020,5,4,19,100.77,2.98,190.9,3.95,86.0,0.07,27.18
2020,5,4,20,100.81,2.9,198.39,3.84,86.75,0.07,27.12
2020,5,4,21,100.87,2.61,200.88,3.35,86.94,0.05,27.09
2020,5,4,22,100.91,2.03,199.76,2.42,85.44,0.06,27.19
2020,5,4,23,100.91,1.27,197.54,1.46,83.75,0.05,27.29
2020,5,5,0,100.86,0.79,204.02,0.91,83.31,0.04,27.2
2020,5,5,1,100.8,0.59,225.54,0.7,83.44,0.02,27.07
2020,5,5,2,100.76,0.59,245.81,0.7,83.75,0.03,26.95
2020,5,5,3,100.75,0.55,269.19,0.64,83.94,0.02,26.86
2020,5,5,4,100.78,0.45,297.9,0.5,83.88,0.03,26.81
2020,5,5,5,100.82,0.36,324.61,0.39,83.62,0.03,26.82
2020,5,5,6,100.85,0.3,352.5,0.3,84.81,0.03,26.95
2020,5,5,7,100.9,0.4,63.43,0.53,81.94,0.04,27.61
2020,5,5,8,100.93,0.9,99.54,1.06,72.62,0.03,28.79
2020,5,5,9,100.92,1.27,123.69,1.4,68.75,0.03,29.65
2020,5,5,10,100.88,1.74,143.75,1.87,67.44,0.03,30.23
2020,5,5,11,100.81,2.31,158.2,2.49,67.31,0.03,30.6
2020,5,5,12,100.72,2.78,168.82,3.06,68.12,0.03,30.73
2020,5,5,13,100.63,3.14,177.86,3.46,68.88,0.03,30.71
2020,5,5,14,100.57,3.36,185.21,3.7,69.56,0.02,30.58
2020,5,5,15,100.54,3.53,191.36,3.89,70.62,0.02,30.26
2020,5,5,16,100.55,3.61,195.81,4.06,72.94,0.01,29.76
2020,5,5,17,100.59,3.52,199.44,4.2,77.31,0.01,29.01
2020,5,5,18,100.66,3.29,202.18,4.3,82.56,0.01,28.19
2020,5,5,19,100.72,3.23,204.27,4.26,84.94,0.02,27.85
2020,5,5,20,100.78,3.12,205.48,4.15,86.62,0.01,27.64
2020,5,5,21,100.81,3.02,205.24,3.99,87.75,0.02,27.46
2020,5,5,22,100.83,2.92,204.85,3.83,88.56,0.01,27.31
2020,5,5,23,100.81,2.87,205.52,3.75,89.5,0.02,27.15
2020,5,6,0,100.76,2.86,206.43,3.75,90.31,0.04,27.0
2020,5,6,1,100.7,2.88,207.26,3.78,91.12,0.04,26.87
2020,5,6,2,100.66,2.88,208.3,3.78,91.69,0.04,26.74
2020,5,6,3,100.66,2.89,209.61,3.81,92.06,0.07,26.66
2020,5,6,4,100.68,2.95,211.67,3.88,92.25,0.07,26.62
2020,5,6,5,100.7,3.01,214.31,3.95,92.31,0.08,26.58
2020,5,6,6,100.73,3.12,216.04,3.88,90.81,0.1,27.05
2020,5,6,7,100.78,3.34,215.1,3.87,87.5,0.15,27.78
2020,5,6,8,100.81,3.45,211.1,3.9,81.5,0.14,28.69
2020,5,6,9,100.82,3.42,208.79,3.8,76.81,0.16,29.51
2020,5,6,10,100.79,3.46,207.55,3.83,73.81,0.16,30.15
2020,5,6,11,100.75,3.52,205.82,3.97,72.62,0.18,30.57
2020,5,6,12,100.67,3.68,204.72,4.24,72.0,0.23,30.79
2020,5,6,13,100.59,3.93,204.07,4.54,72.0,0.21,30.8
2020,5,6,14,100.53,4.13,203.9,4.78,72.56,0.19,30.65
2020,5,6,15,100.49,4.28,202.54,4.92,73.81,0.16,30.3
2020,5,6,16,100.49,4.36,201.23,4.99,76.06,0.11,29.78
2020,5,6,17,100.54,4.11,201.5,4.91,80.25,0.08,29.03
2020,5,6,18,100.61,3.65,202.78,4.75,84.94,0.09,28.27
2020,5,6,19,100.67,3.51,204.17,4.64,86.94,0.11,27.95
2020,5,6,20,100.73,3.4,206.15,4.53,88.06,0.14,27.78
2020,5,6,21,100.8,3.34,208.85,4.42,88.94,0.21,27.64
2020,5,6,22,100.81,3.3,212.15,4.37,89.5,0.23,27.52
2020,5,6,23,100.77,3.32,215.22,4.37,90.12,0.28,27.39
2020,5,7,0,100.71,3.33,218.81,4.38,90.75,0.29,27.25
2020,5,7,1,100.64,3.33,221.86,4.36,91.19,0.31,27.14
2020,5,7,2,100.6,3.3,223.18,4.31,91.56,0.31,27.03
2020,5,7,3,100.57,3.27,223.35,4.25,91.81,0.25,26.94
2020,5,7,4,100.56,3.27,221.8,4.25,91.81,0.22,26.89
2020,5,7,5,100.57,3.36,219.24,4.37,91.81,0.21,26.87
2020,5,7,6,100.59,3.61,216.72,4.5,91.06,0.22,27.26
2020,5,7,7,100.64,4.02,214.8,4.72,88.69,0.2,27.89
2020,5,7,8,100.68,4.36,212.78,5.06,83.94,0.14,28.69
2020,5,7,9,100.7,4.39,211.68,4.99,79.62,0.13,29.44
2020,5,7,10,100.68,4.26,211.59,4.81,76.81,0.13,30.05
2020,5,7,11,100.66,4.17,212.23,4.73,75.12,0.15,30.44
2020,5,7,12,100.6,4.24,212.2,4.86,74.44,0.16,30.56
2020,5,7,13,100.53,4.5,211.37,5.18,74.44,0.18,30.51
2020,5,7,14,100.48,4.88,209.85,5.61,75.56,0.17,30.29
2020,5,7,15,100.45,5.1,209.35,5.87,77.56,0.15,29.9
2020,5,7,16,100.47,5.04,209.35,5.87,79.88,0.14,29.44
2020,5,7,17,100.5,4.75,209.43,5.74,83.12,0.17,28.87
2020,5,7,18,100.57,4.21,209.61,5.46,86.81,0.2,28.27
2020,5,7,19,100.62,3.97,210.81,5.22,88.44,0.24,28.03
2020,5,7,20,100.67,3.84,212.78,5.08,89.31,0.27,27.89
2020,5,7,21,100.72,3.74,215.32,4.95,89.88,0.32,27.76
2020,5,7,22,100.74,3.68,218.18,4.85,90.38,0.32,27.65
2020,5,7,23,100.72,3.64,221.52,4.8,90.94,0.36,27.51
2020,5,8,0,100.68,3.63,225.09,4.79,91.38,0.36,27.4
2020,5,8,1,100.64,3.61,227.99,4.76,91.81,0.41,27.27
2020,5,8,2,100.6,3.55,230.71,4.7,92.06,0.37,27.19
2020,5,8,3,100.58,3.48,232.74,4.59,91.94,0.37,27.14
2020,5,8,4,100.6,3.36,232.65,4.42,91.88,0.35,27.1
2020,5,8,5,100.64,3.23,231.88,4.22,91.81,0.35,27.08
2020,5,8,6,100.68,3.17,230.39,3.99,91.06,0.4,27.44
2020,5,8,7,100.74,3.3,228.36,3.89,88.94,0.43,28.01
2020,5,8,8,100.8,3.44,224.45,3.98,84.62,0.42,28.74
2020,5,8,9,100.82,3.49,220.64,3.98,79.38,0.44,29.51
2020,5,8,10,100.82,3.59,216.32,4.06,75.88,0.5,30.05
2020,5,8,11,100.81,3.83,212.43,4.33,74.62,0.57,30.32
2020,5,8,12,100.74,4.12,209.68,4.68,74.69,0.66,30.38
2020,5,8,13,100.66,4.4,209.02,5.01,75.12,0.77,30.34
2020,5,8,14,100.6,4.67,209.27,5.35,75.81,0.68,30.18
